text_idx,position,original,correction,status,mlm_suggestion,mlm_confidence,original_score,candidates
2,996,reliably,reliable,skipped,further,0.1333,0.0000,reliably=0.441318|further=0.133314|accurately=0.095843|adequately=0.061049|directly=0.043685|fully=0.034628|clearly=0.017613|properly=0.016376|formally=0.012023|completely=0.011786|definitely=0.011215|readily=0.009764|precisely=0.00875|correctly=0.007817|quantitatively=0.006145
2,1004,cytophilic,,skipped,the,0.3470,0.0000,the=0.346989|abnormal=0.087728|aberrant=0.051388|background=0.024446|heterogeneous=0.022647|its=0.022611|variable=0.022213|different=0.019303|inconsistent=0.015618|unusual=0.013805|atypical=0.013712|inappropriate=0.010894|antibody=0.008614|irregular=0.008033
2,1006,patter,patterns,approved,artifacts,0.0601,0.0000,artifacts=0.06011|phenomenon=0.057914|characteristics=0.053795|patterns=0.033204|results=0.032375|phenomena=0.032024|artifact=0.019037|features=0.018246|findings=0.013132|reactions=0.012439|reaction=0.012009|effects=0.011678
2,1018,persists,,skipped,persisted,0.1281,0.0000,persists=0.817814|persisted=0.128103|remains=0.029572|continues=0.006807|remained=0.004343|persist=0.004255|holds=0.001298|occurs=0.001205
2,1042,comprise,occupy,skipped,represent,0.1708,0.0000,comprise=0.665727|represent=0.170798|constitute=0.068889|are=0.023293|comprised=0.008066|compose=0.00667|represented=0.005548|form=0.00431|contain=0.004216|occupy=0.00385|contribute=0.003113|dominate=0.001979|constituted=0.001939|represents=0.001397|cover=0.001357
2,1082,cytophilic,,skipped,monoclonal,0.4984,0.0000,monoclonal=0.498363|circulating=0.128967|neutralizing=0.031041|serum=0.018214|surface=0.012313|the=0.010848|IgM=0.010511|matching=0.008668|HLA=0.008297|auto=0.008174|specific=0.007292|clonal=0.005876|residual=0.005721
2,1084,precludes,,skipped,prevents,0.1283,0.0000,precludes=0.530246|prevents=0.128257|precluded=0.099303|allows=0.04901|limits=0.034098|prevented=0.021633|permits=0.014673|makes=0.013272|excludes=0.012619|facilitates=0.011691|prohibits=0.009944|allowed=0.006152|prohibited=0.005838|preclude=0.005422|enables=0.005027
2,1088,However,,skipped,But,0.0953,0.0006,However=0.499369|But=0.095274|Nevertheless=0.088672|Overall=0.059316|Nonetheless=0.026889|Otherwise=0.021381|Yet=0.016237|Also=0.010696|Although=0.009857|Still=0.00934|Thus=0.007987|Furthermore=0.007177|Rather=0.006655|Instead=0.006528
2,1132,"However,",,skipped,and,0.1185,0.0001,and=0.11854|Where=0.09602|That=0.050156|When=0.038395|But=0.035422|Whether=0.024412|Only=0.020536
2,1180,regarded,presented,skipped,used,0.1953,0.0000,regarded=0.509105|used=0.195285|considered=0.099195|interpreted=0.075157|viewed=0.039689|seen=0.010485|cited=0.005911|construed=0.004875|presented=0.004576|taken=0.004545|reported=0.004175|understood=0.003383|treated=0.002924|intended=0.002456|performed=0.002314
2,1223,optimize,optimine,skipped,maximize,0.3095,0.0000,maximize=0.309539|optimize=0.23087|improve=0.087284|increase=0.075769|determine=0.050311|enhance=0.048862|assess=0.04747|evaluate=0.039129|quantify=0.020244|estimate=0.008371|analyze=0.005026|confirm=0.004992|facilitate=0.004923|calculate=0.004305|ensure=0.003893
2,1351,"However,",,skipped,and,0.1185,0.0001,and=0.11854|Where=0.09602|That=0.050156|When=0.038395|But=0.035422|Whether=0.024412|Only=0.020536
2,1399,regarded,retarded,skipped,used,0.2649,0.0000,regarded=0.290733|used=0.264881|interpreted=0.166127|considered=0.083532|viewed=0.037831|taken=0.018208|seen=0.018047|construed=0.013365|understood=0.010457|treated=0.008071|cited=0.00768|presented=0.006376|reported=0.005459|classified=0.004782|utilized=0.004044
4,128,pretest,,skipped,high,0.7613,0.0000,high=0.76127|low=0.16151|strong=0.010285|increased=0.008547|small=0.00432|higher=0.003667|lower=0.003469|moderate=0.002944|diagnostic=0.002301|clinical=0.001983|significant=0.001802|intermediate=0.001699|large=0.001643|poor=0.001507|great=0.001303
4,156,Bibasilar,,skipped,stitution,0.1284,0.0000,stitution=0.1284|stituting=0.114596|stituted=0.091656|cerning=0.025526|cent=0.016048|lung=0.015035|stitute=0.014992|clusive=0.014624|istent=0.011542|version=0.009802|ized=0.009203
4,177,ReportSuccessful,Report: Successful,approved,post,0.1052,0.0000,post=0.10518|with=0.033696|for=0.032048|from=0.028822|after=0.018275|ful=0.013788|and=0.01298
4,187,Reportbilious,Report: bilious,approved,yellow,0.2678,0.0000,yellow=0.267829|clear=0.182755|brown=0.116578|ous=0.054877|bloody=0.051982|ish=0.044729|bile=0.039446|green=0.031859|red=0.0217|colored=0.014508|white=0.013572|ulent=0.013501|pink=0.013186|orange=0.007391|ious=0.006784
4,199,ReportNo,Report: No,approved,without,0.1897,0.0000,without=0.189654|negative=0.026503|clinical=0.026465|surgical=0.021499|bleeding=0.017473|postoperative=0.010061|operative=0.009879|out=0.009823|radiographic=0.007226|intraoperative=0.007081|acute=0.006856
5,8,AA&O,aado,skipped,oriented,0.1141,0.0001,oriented=0.114143|alert=0.007743
6,321,although,,skipped,but,0.2483,0.0003,but=0.248277|although=0.132553|since=0.038165|though=0.031866|however=0.014588|because=0.011406|and=0.007223|given=0.007021
8,241,reliably,reliable,skipped,specifically,0.0945,0.0000,reliably=0.692991|specifically=0.094463|usually=0.025553|always=0.022776|routinely=0.022299|consistently=0.022115|accurately=0.017477|effectively=0.007846|adequately=0.007331|generally=0.006141|typically=0.005877|directly=0.00563|necessarily=0.004356|normally=0.003658|also=0.003258
8,324,reliably,reliable,skipped,specifically,0.0945,0.0000,reliably=0.692991|specifically=0.094463|usually=0.025553|always=0.022776|routinely=0.022299|consistently=0.022115|accurately=0.017477|effectively=0.007846|adequately=0.007331|generally=0.006141|typically=0.005877|directly=0.00563|necessarily=0.004356|normally=0.003658|also=0.003258
10,103,osh;,ash,skipped,MRI,0.0297,0.0000,MRI=0.029697|hospital=0.029365|ICU=0.023893|outside=0.01756|scanner=0.016348|yesterday=0.010486|the=0.010435|today=0.010371
10,125,"facture,",fractures,approved,and,0.1444,0.0000,and=0.144444|fractures=0.026039|injury=0.002679|with=0.001092
10,223,possibility,,skipped,presence,0.1520,0.0000,possibility=0.776305|presence=0.151964|diagnosis=0.033208|development=0.005184|question=0.005156|existence=0.00229|likelihood=0.002027|suspicion=0.001751|occurrence=0.001637|cause=0.001158|component=0.00107
15,10,"varicies,",varices,approved,perf,0.4141,0.0000,perf=0.41407|stenosis=0.096794|ulcers=0.080002|var=0.05557|bleeding=0.03876|ulcer=0.037866|bleed=0.021534|fistula=0.018303|cancer=0.01729|rupture=0.014991|tear=0.011323|mass=0.008809
15,26,presents,present,skipped,anemia,0.1923,0.0000,presents=0.357835|anemia=0.19232|now=0.13857|presented=0.114075|bleeding=0.030781|presenting=0.017902|also=0.010869|fell=0.010087|currently=0.009689|falls=0.007197|here=0.006324|admitted=0.004728|fall=0.002663
15,41,melenic,elenic,skipped,loose,0.4752,0.0000,loose=0.475194|black=0.203703|bloody=0.110114|dark=0.075104|soft=0.018972|hard=0.016814|liquid=0.015101|brown=0.007059|small=0.005988|blood=0.00543|formed=0.005081|large=0.004901|red=0.004698|pale=0.00266
15,135,reaccumulated,,skipped,developed,0.2845,0.0000,developed=0.284531|had=0.245296|increased=0.229311|noticed=0.040231|increasing=0.029374|worsening=0.020957|noted=0.014957|more=0.01464|new=0.012169|some=0.008865|gotten=0.005675|decreased=0.003823|experienced=0.003719|gained=0.003549
15,154,"anymore""",,skipped,,0.0000,0.0000,
17,48,gallops,,skipped,clicks,0.6453,0.0015,clicks=0.64528|gall=0.130468|ops=0.0267|appreciated=0.014934|added=0.007596|palp=0.007131|noted=0.00628|pale=0.003563|lifts=0.003256|click=0.002448|gallop=0.001528|gallows=0.001528
17,159,gallops,,skipped,clicks,0.6888,0.0004,clicks=0.688762|gall=0.042638|appreciated=0.026804|click=0.011867|lifts=0.008066|noted=0.008014|ops=0.005662|pops=0.005275|added=0.004735|palp=0.003844|pale=0.003581|etc=0.003286
17,184,equinous,equinus,skipped,slight,0.1577,0.0000,slight=0.157721|mild=0.116889|more=0.066148|greater=0.049744|increased=0.04206|genu=0.036685|foot=0.032232|chronic=0.02243|marked=0.022228|slightly=0.013017|significant=0.012653|pes=0.010127|heel=0.009765|non=0.00857
19,37,TrapDeltoid,Trapezius Deltoid,approved,Flex,0.0261,0.0022,Flex=0.026075|Full=0.021191|Spread=0.011761
19,38,Bicep,Biceps,approved,Ham,0.0321,0.0003,Ham=0.032145|Quad=0.02213|Spread=0.021581|Flex=0.014854|Tri=0.010823
19,39,Tricep,Triceps,approved,Hand,0.0970,0.0006,Hand=0.096975|Quad=0.049657|Fin=0.032179|rip=0.024297|Tri=0.01783|Fire=0.016406|grasp=0.014793|Ham=0.014727|and=0.012333
19,51,IPQuadHamATEHLGast,IP Quadriceps Hamstrings ATEH Gastrocnemius,approved,Right,0.0393,0.0000,Right=0.039261|Left=0.029419
21,14,jandice,jaundice,approved,edema,0.5582,0.0000,edema=0.558205|rash=0.120715|distress=0.068169|lesions=0.030791|acne=0.010834|bleeding=0.01059|congestion=0.010486|swelling=0.010232|irritation=0.00767|cough=0.006399|injection=0.006035|blood=0.005819|pain=0.005354
23,26,webspace.,,skipped,the,0.1591,0.0000,the=0.159074|proximal=0.124183|distal=0.089035|with=0.048895|first=0.041645|wrist=0.019298|elbow=0.017593|hand=0.015435|finger=0.014854|about=0.014458|include=0.014275|least=0.013834|thumb=0.013029
23,44,interroseous,interosseous,approved,strap,0.1026,0.0000,strap=0.10259|skeletal=0.091242|circular=0.066015|oblique=0.045613|abdominal=0.042661|intrinsic=0.032169|collateral=0.025904|superficial=0.018779|longitudinal=0.017381|underlying=0.016769|calf=0.01611|subcutaneous=0.016065|the=0.01378|deep=0.013705|thigh=0.011846
23,68,volarly,,skipped,laterally,0.0866,0.0000,laterally=0.086632|down=0.056702|over=0.045527|through=0.042389|upwards=0.038207|upward=0.029776|out=0.01668|outward=0.013128|due=0.012291|downward=0.011557|inward=0.008237|leading=0.00823
23,83,dopplerable,,skipped,patent,0.1110,0.0000,patent=0.111042|Doppler=0.056396|audible=0.035476|palp=0.02983|strong=0.016371|intact=0.015057|tender=0.014412|soft=0.014253|stable=0.01386|sound=0.009254|active=0.009122|injected=0.008817|normal=0.00847|sharp=0.008456
23,171,presumably,,skipped,likely,0.1718,0.0000,likely=0.171769|probably=0.053236|possibly=0.044677|noted=0.030836|possible=0.023249|felt=0.020976|weakness=0.019636|seen=0.018512|deficit=0.011728|thought=0.00962
26,8,comfortably,comfortable,skipped,upright,0.0571,0.0000,comfortably=0.058621|upright=0.057141|calmly=0.007603|flat=0.004759|down=0.003759|quietly=0.002077|forward=0.001644|still=0.001542|high=0.00136|back=0.001344|awake=0.0013
27,17,"Normalocephalic,",Normocephalic,approved,Dry,0.3488,0.0004,Dry=0.348822|Clear=0.072586|Normal=0.051245|Soft=0.033659|moist=0.025517|Pink=0.019284|Pale=0.010458
27,53,A&O,,skipped,oriented,0.5564,0.0001,oriented=0.556403|alert=0.020419|awake=0.001741|orient=0.001601
27,68,"UE's,",,skipped,lower,0.0662,0.0000,lower=0.066218|hand=0.054088|leg=0.053275|arm=0.041065|grip=0.039047|upper=0.033813|and=0.027503|shoulder=0.017944|knee=0.013288|good=0.012248|decreased=0.012101|full=0.011764
27,90,"Normalocephalic,",Normocephalic,approved,Dry,0.3343,0.0003,Dry=0.334318|Clear=0.068949|Normal=0.047613|moist=0.028755|Soft=0.027738|Pink=0.016586|Pale=0.010338
27,126,A&O,a&b,skipped,oriented,0.2676,0.0002,oriented=0.267555|alert=0.043973|awake=0.002008
28,12,"nontender,",,skipped,tender,0.1108,0.0004,tender=0.110849|but=0.036757|large=0.034565|with=0.033671|obese=0.029244|the=0.020452|full=0.018925|dilated=0.016916|and=0.015464|enlarged=0.014285|flat=0.014091
30,93,"MOYb,",boyb,skipped,STM,0.0569,0.0000,STM=0.056919|reading=0.054263|ABC=0.053572|calculations=0.041039|ROS=0.027772|commands=0.022179|DAT=0.020197|backwards=0.018648|exam=0.012932|naming=0.012786|math=0.012755|registration=0.010812|gross=0.010539
30,97,DOWb.,dob,skipped,reading,0.0021,0.0000,reading=0.002055|some=0.001491|backwards=0.001106|read=0.001064|STM=0.001019
30,111,paraphasic,paraphasia,skipped,naming,0.4027,0.0000,naming=0.402731|comprehension=0.143025|reading=0.140845|semantic=0.063991|spelling=0.026759|sequencing=0.020721|recording=0.019074|other=0.018751|writing=0.01707|language=0.017019|factual=0.012815|academic=0.010586|production=0.007051|finding=0.006558|transcription=0.006424
30,203,elevates,,skipped,rises,0.5921,0.0000,rises=0.592105|activates=0.101968|raises=0.070836|moves=0.060118|raised=0.047231|elev=0.016724|lifts=0.011233|extends=0.008744|elevation=0.005308|lowers=0.004851|rising=0.00473|raise=0.002676|moved=0.002493
30,208,trapezii,,skipped,equal,0.1517,0.0000,equal=0.151715|symmetric=0.083857|full=0.03597|tact=0.032698|good=0.028419|grip=0.027738|hands=0.026932|flexion=0.014237|hand=0.010268|swallowing=0.009772|tongue=0.009738
30,212,protrudes,protrude,skipped,emerges,0.0309,0.0000,emerges=0.030903|ends=0.020997|appears=0.020617|placed=0.019568|positioned=0.015157|remains=0.014325|located=0.012094|resting=0.01193|sits=0.011621|moves=0.010567|set=0.008934|formed=0.006689|pointed=0.005914|lies=0.005332
30,217,excursions.,excursion,skipped,ROM,0.3867,0.0000,ROM=0.386686|strength=0.199641|bulk=0.031777|sensation=0.02893|range=0.019918|tone=0.019577|symmetry=0.018971|movement=0.017898|support=0.017081|movements=0.015113|control=0.011959|coordination=0.011529|alignment=0.01068|expression=0.008259
30,414,elevates,,skipped,rises,0.6092,0.0000,rises=0.609164|activates=0.157442|raised=0.059171|raises=0.046843|moves=0.025671|elev=0.01374|elevation=0.007289|lifts=0.004772|rising=0.002727|lowers=0.002679|raise=0.002652|extends=0.001985|symmetric=0.001647
30,419,trapezii,,skipped,equal,0.1936,0.0000,equal=0.193597|symmetric=0.143822|full=0.045688|tact=0.043456|good=0.020849|hands=0.018237|grip=0.014755|place=0.011324|swallowing=0.011103|voice=0.010521|flexion=0.01022|extinction=0.010149
30,423,protrudes,protrude,skipped,emerges,0.0309,0.0000,emerges=0.030903|ends=0.020997|appears=0.020617|placed=0.019568|positioned=0.015157|remains=0.014325|located=0.012094|resting=0.01193|sits=0.011621|moves=0.010567|set=0.008934|formed=0.006689|pointed=0.005914|lies=0.005332
30,428,excursions.,excursion,skipped,ROM,0.3679,0.0000,ROM=0.367879|strength=0.232406|sensation=0.038443|bulk=0.020491|symmetry=0.020434|movement=0.019338|range=0.017815|movements=0.016979|tone=0.015771|support=0.013161|expression=0.011437|control=0.010765|chewing=0.010587|coordination=0.010418
31,26,R.molar.,right molar,approved,tooth,0.6250,0.0000,tooth=0.625045|molar=0.172491|teeth=0.116854|jaw=0.005422|mouth=0.002185|dental=0.001959|gum=0.001715|root=0.001428|lip=0.001082
31,30,cracking,crackling,skipped,having,0.4899,0.0000,having=0.489938|missing=0.156145|removing=0.043205|had=0.037279|filling=0.029953|extracting=0.016291|has=0.012837|removed=0.01268|wearing=0.011004|breaking=0.010424|visiting=0.010298|that=0.009685|extracted=0.00833|getting=0.007877|taking=0.005767
31,38,however,,skipped,the,0.2698,0.0000,the=0.269826|now=0.146518|but=0.104958|and=0.08919|says=0.069963|his=0.03062|this=0.025974|then=0.025011|states=0.017732|that=0.015732|reports=0.01429|new=0.012874|tooth=0.010393|throat=0.010366|said=0.007122
31,97,Additionally,,skipped,Today,0.1158,0.0003,Today=0.115843|and=0.095659|but=0.049369|also=0.043453|however=0.022662|now=0.010946|although=0.010063
31,130,reportedly,,skipped,scan,0.7429,0.0000,scan=0.742877|neck=0.039994|chest=0.031138|head=0.014386|study=0.010348|there=0.010133|examination=0.006675|performed=0.004191|bronch=0.003915|exam=0.00382|imaging=0.003746|torso=0.003214|swallow=0.00241
35,3,Stop&Shop,,skipped,came,0.0609,0.0000,came=0.060874|filled=0.054383|put=0.042711|comes=0.040364|called=0.038583|brought=0.032413|sent=0.029836|not=0.026611|patient=0.026538|still=0.022231|coming=0.01774|resulted=0.016406|order=0.012088|pharmacy=0.011796
35,6,amantidine,amantadine,skipped,metformin,0.1835,0.0003,metformin=0.183484|morphine=0.172456|aspirin=0.048792|dexamethasone=0.024575|lithium=0.02257|insulin=0.015128|caffeine=0.01435|calcium=0.014224|iron=0.010913|KCl=0.009024
37,8,inspirational,inspiratory,approved,severe,0.3394,0.0000,severe=0.339448|acute=0.265517|intermittent=0.051058|sudden=0.044471|recurrent=0.027469|chronic=0.019007|new=0.017161|progressive=0.016466|sharp=0.015359|worsening=0.015188|transient=0.012427|mild=0.010938|persistent=0.009636|vague=0.008048
42,61,LFT's.,lfts,skipped,lactate,0.1730,0.0000,lactate=0.172964|temp=0.113966|CRP=0.057046|creatinine=0.047417|platelets=0.03146|ESR=0.030888|creat=0.030166|HCT=0.024272|fever=0.023806|glucose=0.012507
42,132,recived,received,approved,had,0.1451,0.0000,had=0.145091|started=0.099517|has=0.096018|was=0.027976|refused=0.026279|receives=0.025326|began=0.023342|requires=0.02189|underwent=0.021006|gets=0.020967|got=0.01544|required=0.013672|needs=0.01257
42,238,"BM's),",,skipped,vomiting,0.6948,0.0000,vomiting=0.69482|nausea=0.215936|fever=0.040996|cough=0.010168|pain=0.003348|weakness=0.003016|headache=0.002724|fatigue=0.002504|sweating=0.001687|eating=0.001038
42,242,unkown,unknown,approved,long,0.2330,0.0000,long=0.233013|short=0.198687|longer=0.09411|prolonged=0.055723|variable=0.033208|unclear=0.025563|days=0.024926|varying=0.024217|moderate=0.014206|uncertain=0.013383|shorter=0.012442|increased=0.010986|extended=0.008707|unspecified=0.008664
45,80,RECOMMENDATION(S):,Recommendations,approved,Please,0.0232,0.0000,Please=0.023161|Immediately=0.017467|Read=0.011224|Recommend=0.010957
46,11,presents,present,skipped,presenting,0.1100,0.0000,presents=0.778502|presenting=0.109989|presented=0.038069|here=0.034647|admitted=0.012272|now=0.005584|returns=0.003594|today=0.002437|comes=0.00125
46,13,nonfocal,confocal,skipped,generalized,0.2973,0.0000,generalized=0.297283|leg=0.114479|worsening=0.049917|progressive=0.042244|diffuse=0.042113|increased=0.036621|new=0.029471|general=0.025211|increasing=0.022741|bilateral=0.016108|acute=0.015767|global=0.014657|profound=0.012758|severe=0.012136
47,68,essentially,,skipped,now,0.4094,0.0000,now=0.409392|almost=0.18724|completely=0.110035|mostly=0.071983|all=0.04167|currently=0.027874|entirely=0.024927|essentially=0.016191|nearly=0.016011|basically=0.013533|totally=0.012218|largely=0.010716|actually=0.006063|also=0.00496|presently=0.00265
51,49,dopplered,,skipped,good,0.1421,0.0000,good=0.14215|absent=0.11294|weak=0.105811|strong=0.06523|faint=0.048911|intact=0.043011|palp=0.030765|full=0.028487|normal=0.021999|diminished=0.016506|trace=0.010017
51,62,Tegaderm,,skipped,dressing,0.8456,0.0000,dressing=0.845645|incision=0.024619|suture=0.013469|patch=0.008152|packing=0.007066|wound=0.006231|stitch=0.005338|band=0.004837|pad=0.004405|site=0.003924|drain=0.003721|staple=0.003508|ace=0.003374
51,82,grois,gris,skipped,with,0.0160,0.0000,with=0.016024|ilateral=0.010855|OTH=0.007109|from=0.006961
51,85,Tegaderm,,skipped,dressing,0.7472,0.0000,dressing=0.747195|wrap=0.014001|ace=0.011319|incision=0.011165|pad=0.009324|packing=0.008952|stitch=0.00691|site=0.006325|wound=0.006055|suture=0.006019|skin=0.004201|patch=0.004034
52,48,hepatosplenomegally.,hepatosplenomegaly,approved,tenderness,0.0745,0.0000,tenderness=0.074531|masses=0.049652|bleeding=0.037466|rebound=0.024711|edema=0.01911|stool=0.015762|blood=0.011455|Pain=0.006627|discharge=0.006145
52,69,"D=Dopplerable,",,skipped,and,0.3198,0.0025,and=0.319812|otherwise=0.036436|but=0.02611|Other=0.011236|Normal=0.008208|Soft=0.007558
52,70,N=None),,skipped,and,0.0322,0.0000,and=0.032186|Left=0.020132|Doppler=0.016076
55,45,Convictions,,skipped,arrests,0.1415,0.0000,arrests=0.141479|charges=0.124364|arrest=0.066611|Current=0.062694|Records=0.051142|convictions=0.03998|Record=0.031148|Court=0.024847|Home=0.019145|Sentencing=0.018824|Courts=0.015064|Jail=0.014775|parole=0.013392|Reports=0.012246
57,20,conversant,,skipped,cooperative,0.7597,0.0000,cooperative=0.759726|interactive=0.069073|comfortable=0.032744|alert=0.024953|appropriate=0.023084|calm=0.017349|friendly=0.012818|oriented=0.007362|responsive=0.003631|articulate=0.003405|joking=0.003151|smiling=0.002872|engaged=0.002387|energetic=0.002381|cheerful=0.001839
57,62,gallops.,gallop,skipped,clicks,0.2144,0.0000,clicks=0.21442|added=0.028321|appreciated=0.010755|gall=0.010132|ops=0.007299|alarms=0.006812|noted=0.004873
57,78,"nontender,",,skipped,and,0.3555,0.0018,and=0.355483|round=0.136142|obese=0.102044|but=0.047611|rounded=0.020728|otherwise=0.017719|moderately=0.016157|flat=0.015347|normal=0.012523|mildly=0.009289|tender=0.008717|slightly=0.008318|non=0.007278
57,79,"nondistended,",,skipped,with,0.7742,0.0000,with=0.774166|and=0.171175|normal=0.004444|mild=0.003102|has=0.002802|soft=0.002585|positive=0.002492
57,80,normoactive,,skipped,positive,0.4105,0.0000,positive=0.410531|normal=0.248664|active=0.073498|good=0.043267|present=0.017346|quiet=0.014455|decreased=0.013788|increased=0.004451|diminished=0.003572|faint=0.002539
57,85,heptosplenomegaly.,hepatosplenomegaly,approved,edema,0.1851,0.0000,edema=0.185136|rebound=0.06581|masses=0.061776|distress=0.016606|blood=0.016076|active=0.01467|tenderness=0.011701|significant=0.010652|rash=0.010098
57,98,"nonfocal,",confocal,skipped,otherwise,0.1455,0.0000,otherwise=0.145547|neuro=0.046569|intact=0.045247|gross=0.0376|awake=0.0342|motor=0.032766|with=0.01524|strength=0.014188|sensation=0.013349|pupils=0.012932|oriented=0.012861
57,140,conversant,,skipped,cooperative,0.5999,0.0000,cooperative=0.599858|interactive=0.102894|comfortable=0.08332|alert=0.073766|calm=0.035502|appropriate=0.018835|friendly=0.012694|oriented=0.010558|responsive=0.007109|articulate=0.004068|smiling=0.00361|awake=0.002589|quiet=0.002585|cheerful=0.002053|joking=0.002038
